user_key,name,memberTier,lifetimeSpend,memberSince,preferredCategory
vip-user-001,VIP Member 001,vip,3010.11,2025-03-20,running
vip-user-002,VIP Member 002,vip,3347.12,2023-12-26,basketball
vip-user-003,VIP Member 003,vip,1636.6,2024-10-13,lifestyle
vip-user-004,VIP Member 004,vip,3133.11,2024-11-13,training
vip-user-005,VIP Member 005,vip,2848.63,2025-03-06,running
vip-user-006,VIP Member 006,vip,998.33,2024-02-18,basketball
vip-user-007,VIP Member 007,vip,1667.78,2025-03-17,lifestyle
vip-user-008,VIP Member 008,vip,2752.11,2023-01-02,training
vip-user-009,VIP Member 009,vip,1627.45,2023-10-19,running
vip-user-010,VIP Member 010,vip,3571.12,2025-04-27,basketball
vip-user-011,VIP Member 011,vip,3404.06,2024-06-18,lifestyle
vip-user-012,VIP Member 012,vip,3203.86,2023-06-14,training
vip-user-013,VIP Member 013,vip,1816.98,2024-02-25,running
vip-user-014,VIP Member 014,vip,4058.8,2023-06-21,basketball
vip-user-015,VIP Member 015,vip,1237.29,2023-03-24,lifestyle
vip-user-016,VIP Member 016,vip,1219.16,2023-06-06,training
vip-user-017,VIP Member 017,vip,2892.3,2025-02-11,running
vip-user-018,VIP Member 018,vip,3308.11,2024-08-28,basketball
vip-user-019,VIP Member 019,vip,4111.28,2023-03-27,lifestyle
vip-user-020,VIP Member 020,vip,1160.04,2023-09-18,training
vip-user-021,VIP Member 021,vip,3637.04,2023-05-01,running
vip-user-022,VIP Member 022,vip,2805.26,2024-12-19,basketball
vip-user-023,VIP Member 023,vip,1051.22,2024-01-30,lifestyle
vip-user-024,VIP Member 024,vip,3451.13,2024-11-28,training
vip-user-025,VIP Member 025,vip,3722.55,2024-10-16,running
vip-user-026,VIP Member 026,vip,2154.42,2022-10-25,basketball
vip-user-027,VIP Member 027,vip,2997.76,2023-04-24,lifestyle
vip-user-028,VIP Member 028,vip,1436.76,2023-05-14,training
vip-user-029,VIP Member 029,vip,1591.37,2023-11-11,running
vip-user-030,VIP Member 030,vip,3216.01,2024-12-15,basketball
vip-user-031,VIP Member 031,vip,2910.13,2024-05-25,lifestyle
vip-user-032,VIP Member 032,vip,2662.66,2023-12-26,training
vip-user-033,VIP Member 033,vip,1439.23,2023-03-25,running
vip-user-034,VIP Member 034,vip,1790.83,2024-02-16,basketball
vip-user-035,VIP Member 035,vip,3159.23,2025-01-16,lifestyle
vip-user-036,VIP Member 036,vip,1655.86,2025-03-06,training
vip-user-037,VIP Member 037,vip,3556.65,2023-02-09,running
vip-user-038,VIP Member 038,vip,1783.54,2024-03-04,basketball
vip-user-039,VIP Member 039,vip,3913.35,2023-08-05,lifestyle
vip-user-040,VIP Member 040,vip,1601.67,2022-07-23,training
vip-user-041,VIP Member 041,vip,2205.59,2022-10-14,running
vip-user-042,VIP Member 042,vip,1371.48,2024-07-29,basketball
vip-user-043,VIP Member 043,vip,1713.87,2023-11-19,lifestyle
vip-user-044,VIP Member 044,vip,3365.15,2022-12-15,training
vip-user-045,VIP Member 045,vip,3862.82,2023-02-13,running
vip-user-046,VIP Member 046,vip,2094.59,2024-07-31,basketball
vip-user-047,VIP Member 047,vip,2581.44,2024-11-05,lifestyle
vip-user-048,VIP Member 048,vip,3394.08,2024-09-28,training
vip-user-049,VIP Member 049,vip,1404.38,2024-06-17,running
vip-user-050,VIP Member 050,vip,3513.86,2022-12-28,basketball
vip-user-051,VIP Member 051,vip,2868.15,2023-03-14,lifestyle
vip-user-052,VIP Member 052,vip,2159.34,2022-09-25,training
vip-user-053,VIP Member 053,vip,2646.08,2025-04-17,running
vip-user-054,VIP Member 054,vip,3144.94,2024-09-18,basketball
vip-user-055,VIP Member 055,vip,3149.64,2023-11-11,lifestyle
vip-user-056,VIP Member 056,vip,3436.38,2023-06-14,training
vip-user-057,VIP Member 057,vip,1268.12,2022-12-02,running
vip-user-058,VIP Member 058,vip,1421.92,2025-05-04,basketball
vip-user-059,VIP Member 059,vip,4047.59,2023-11-18,lifestyle
vip-user-060,VIP Member 060,vip,4107.23,2024-05-10,training
vip-user-061,VIP Member 061,vip,2575.35,2024-10-05,running
vip-user-062,VIP Member 062,vip,3772.71,2023-09-07,basketball
vip-user-063,VIP Member 063,vip,3677.51,2022-07-06,lifestyle
vip-user-064,VIP Member 064,vip,2909.6,2024-07-01,training
vip-user-065,VIP Member 065,vip,2133.92,2024-06-14,running
vip-user-066,VIP Member 066,vip,2679.95,2022-05-20,basketball
vip-user-067,VIP Member 067,vip,3931.03,2023-07-17,lifestyle
vip-user-068,VIP Member 068,vip,2512.4,2024-09-23,training
vip-user-069,VIP Member 069,vip,3966.03,2023-08-20,running
vip-user-070,VIP Member 070,vip,1690.19,2024-01-03,basketball
vip-user-071,VIP Member 071,vip,3797.43,2024-11-30,lifestyle
vip-user-072,VIP Member 072,vip,1182.66,2022-08-19,training
vip-user-073,VIP Member 073,vip,3592.88,2022-05-16,running
vip-user-074,VIP Member 074,vip,3427.25,2024-08-21,basketball
vip-user-075,VIP Member 075,vip,3077.18,2024-06-06,lifestyle
vip-user-076,VIP Member 076,vip,1774.69,2022-12-26,training
vip-user-077,VIP Member 077,vip,4082.4,2024-03-25,running
vip-user-078,VIP Member 078,vip,3252.73,2023-02-13,basketball
vip-user-079,VIP Member 079,vip,4183.99,2023-04-07,lifestyle
vip-user-080,VIP Member 080,vip,2345.73,2022-06-16,training
vip-user-081,VIP Member 081,vip,2389.9,2023-12-20,running
vip-user-082,VIP Member 082,vip,1641.5,2023-06-18,basketball
vip-user-083,VIP Member 083,vip,969.41,2024-01-25,lifestyle
vip-user-084,VIP Member 084,vip,2841.85,2025-04-26,training
vip-user-085,VIP Member 085,vip,1134.28,2025-01-10,running
vip-user-086,VIP Member 086,vip,1655.51,2025-03-07,basketball
vip-user-087,VIP Member 087,vip,3736.8,2024-12-16,lifestyle
vip-user-088,VIP Member 088,vip,2596.72,2023-10-18,training
vip-user-089,VIP Member 089,vip,3107.63,2024-02-27,running
vip-user-090,VIP Member 090,vip,2679.47,2022-09-15,basketball
